# Species	Genes	Alg.-Conn.	GCA_010727945.1_protein.faa	GCA_010728725.1_protein.faa	GCA_010730195.1_protein.faa	GCA_019456655.1_protein.faa	GCA_900292015.1_protein.faa
5	10	0.204	BBX46375.1	BBZ12199.1	BBZ41498.1,BBZ40251.1,BBZ38856.1,BBZ41464.1	QYL20588.1,QYL21120.1,QYL21362.1	VDM90507.1
5	10	0.113	BBX46376.1	BBZ12198.1	BBZ41465.1,BBZ40250.1,BBZ38096.1,BBZ41499.1	QYL21121.1,QYL25492.1,QYL21363.1	VDM90508.1
5	10	0.106	BBX45907.1,BBX45052.1,BBX45871.1	BBZ12706.1,BBZ12772.1	BBZ39911.1	QYL23905.1,QYL23934.1	VDM89216.1,VDM89521.1
5	9	0.521	BBX44484.1,BBX47625.1	BBZ10148.1,BBZ10994.1,BBZ11716.1,BBZ14072.1	BBZ37033.1	QYL23306.1	VDM86927.1
5	9	0.513	BBX44485.1,BBX47626.1	BBZ10147.1,BBZ10993.1,BBZ11717.1,BBZ14071.1	BBZ37034.1	QYL23307.1	VDM86928.1
5	9	0.168	BBX47483.1,BBX48100.1,BBX47427.1	BBZ11170.1,BBZ11949.1,BBZ12128.1	BBZ42663.1	QYL25304.1	VDM86801.1
5	9	0.148	BBX45622.1,BBX48167.1	BBZ12995.1,BBZ10447.1	BBZ40704.1	QYL23852.1,QYL23851.1,QYL24539.1	VDM89892.1
5	9	0.14	BBX46888.1	BBZ11610.1	BBZ37389.1	QYL25306.1,QYL25838.1,QYL23612.1,QYL25602.1	VDM87243.1,VDM87534.1
5	9	0.121	BBX46378.1	BBZ12196.1	BBZ38853.1,BBZ40248.1,BBZ41467.1	QYL21365.1,QYL21123.1,QYL24592.1	VDM90510.1
5	9	0.114	BBX46377.1	BBZ12197.1	BBZ41500.1,BBZ40249.1,BBZ41466.1	QYL21122.1,QYL20589.1,QYL21364.1	VDM90509.1
5	9	0.101	BBX46470.1	BBZ13070.1	BBZ37669.1,BBZ39148.1,BBZ37872.1,BBZ39192.1,BBZ42200.1	QYL25225.1	VDM88614.1
5	8	0.452	BBX46962.1,BBX46961.1	BBZ13033.1	BBZ39225.1,BBZ39228.1,BBZ39213.1	QYL22052.1	VDM87196.1
5	8	0.275	BBX47023.1	BBZ11501.1	BBZ42224.1,BBZ39695.1	QYL24384.1,QYL22643.1	VDM91191.1,VDM89003.1
5	8	0.206	BBX48122.1	BBZ10495.1	BBZ37481.1,BBZ39837.1	QYL23527.1,QYL23748.1	VDM87298.1,VDM89132.1
5	8	0.178	BBX47930.1,BBX48806.1	BBZ10664.1,BBZ12062.1,BBZ15002.1	BBZ37295.1	QYL25609.1	VDM87144.1
5	8	0.121	BBX44774.1,BBX45357.1	BBZ15096.1,BBZ11284.1	BBZ39792.1	QYL25814.1,QYL23694.1	VDM89104.1
5	8	0.116	BBX46435.1,BBX46190.1	BBZ12142.1,BBZ15382.1	BBZ41573.1,BBZ39512.1	QYL21418.1	VDM90565.1
5	8	0.116	BBX46436.1,BBX46191.1	BBZ12141.1,BBZ15383.1	BBZ41574.1,BBZ39513.1	QYL21419.1	VDM90566.1
5	8	0.109	BBX46434.1,BBX46189.1	BBZ12143.1,BBZ15381.1	BBZ41572.1,BBZ39511.1	QYL21417.1	VDM90564.1
5	7	0.472	BBX48460.1	BBZ10116.1,BBZ10154.1	BBZ37825.1	QYL24198.1	VDM89553.1,VDM87641.1
5	7	0.357	BBX45887.1	BBZ12709.1	BBZ38057.1	QYL25489.1,QYL23936.1	VDM87792.1,VDM89523.1
5	7	0.328	BBX47479.1,BBX48096.1	BBZ11174.1,BBZ11945.1	BBZ42659.1	QYL23057.1	VDM86798.1
5	7	0.314	BBX46428.1,BBX46857.1	BBZ12149.1,BBZ15380.1	BBZ41568.1	QYL21413.1	VDM90559.1
5	7	0.286	BBX44436.1,BBX45756.1	BBZ14114.1	BBZ41852.1	QYL22044.1,QYL25484.1	VDM87531.1
5	7	0.279	BBX48951.1	BBZ14622.1	BBZ38438.1,BBZ42532.1	QYL22907.1,QYL24708.1	VDM88007.1
5	7	0.26	BBX47420.1,BBX47476.1	BBZ12121.1,BBZ11177.1	BBZ42656.1	QYL23054.1	VDM86795.1
5	7	0.254	BBX46802.1	BBZ11686.1	BBZ41932.1	QYL21283.1,QYL23266.1,QYL25328.1	VDM90945.1
